300W Challenge 2013 Results
Participant: M. Hasan, C. Pal, S. Moalem, "Localizing facial keypoints with global descriptor search, neighbour alignment and locally linear models", Proceedings of IEEE International Conference on Computer Vision, Workshop on 300 Faces in-the-Wild Challenge (300-W), 2013, pp. 362–369.
-----------------------------------------------------------
Bin 68_all 68_indoor 68_outdoor 51_all 51_indoor 51_outdoor
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0005 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0010 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0015 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0020 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0025 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0030 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0035 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0040 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0045 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0050 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0055 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0060 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0065 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0070 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0080 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0085 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0090 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0095 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0100 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0105 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0110 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0115 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0120 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0125 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
